Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added
MMM,3M Company,reports,Industrials,Industrial Conglomerates,St. Paul, Minnesota,
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,North Chicago, Illinois,1964-03-31
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,North Chicago, Illinois,2012-12-31
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin, Ireland,2011-07-06
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,Santa Monica, California,2015-08-31
AYI,Acuity Brands Inc,reports,Industrials,Electrical Components & Equipment,Atlanta, Georgia,2016-05-03
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,San Jose, California,1997-05-05
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,Roanoke, Virginia,2015-07-09
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,
AET,Aetna Inc,reports,Health Care,Managed Health Care,Hartford, Connecticut,1976-06-30
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,Beverly, Massachusetts,2014-07-01
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,Columbus, Georgia,
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,Santa Clara, California,
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,Allentown, Pennsylvania,1985-04-30
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,Cambridge, Massachusetts,2007-07-12
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,Seattle, Washington,2016-05-13
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,Baton Rouge, Louisiana,2016-07-01
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,Cheshire, Connecticut,2012-05-25
ALLE,Allegion,reports,Industrials,Building Products,Dublin, Ireland,2013-12-02
AGN,Allergan, Plc,reports,Health Care,Pharmaceuticals,Dublin, Ireland,
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,Plano, Texas,2013-12-23
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,Madison, Wisconsin,2016-07-01
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,Northfield Township, Illinois,
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,Mountain View, California,2014-04-03
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,Mountain View, California,
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,Richmond, Virginia,
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,2005-11-18
AEE,Ameren Corp,reports,Utilities,MultiUtilities,St. Louis, Missouri,1991-09-19
AAL,American Airlines Group,reports,Industrials,Airlines,Fort Worth, Texas,2015-03-23
AEP,American Electric Power,reports,Utilities,Electric Utilities,Columbus, Ohio,
AXP,American Express Co,reports,Financials,Consumer Finance,New York, New York,1976-06-30
AIG,American International Group, Inc.,reports,Financials,Property & Casualty Insurance,New York, New York,1980-03-31
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,Boston, Massachusetts,2007-11-19
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,Voorhees, New Jersey,2016-03-04
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,
AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,2013-09-23
AMGN,Amgen Inc,reports,Health Care,Biotechnology,Thousand Oaks, California,1992-01-02
APH,Amphenol Corp,reports,Information Technology,Electronic Components,Wallingford, Connecticut,2008-09-30
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas,
ADI,Analog Devices, Inc.,reports,Information Technology,Semiconductors,Norwood, Massachusetts,
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,Indianapolis, Indiana,
AON,Aon plc,reports,Financials,Insurance Brokers,London, United Kingdom,
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,
AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,Denver, Colorado,
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,Cupertino, California,1982-11-30
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,Santa Clara, California,
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,Decatur, Illinois,1981-07-29
ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,New York, New York,1964-03-31
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,Itasca, Illinois,2016-05-31
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,New York, New York,2007-04-10
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Dallas, Texas,1983-11-30
ADSK,Autodesk Inc,reports,Information Technology,Application Software,San Rafael, California,1989-12-01
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,Roseland, New Jersey,1981-03-31
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,Fort Lauderdale, Florida,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,Memphis, Tennessee,
AVB,AvalonBay Communities, Inc.,reports,Real Estate,Residential REITs,Arlington, Virginia[3],2007-01-10
