EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
a1092945600,50.117,51.978,47.932,49.955,0,1
1,54.1,54.49,50.2,50.69,0,1
4,54.65,56.68,54.47,55.32,0,1
5,52.38,55.74,51.73,55.56,0,1
6,52.95,53.95,51.89,52.43,0,1
7,53.9,53.92,52.28,52.42,0,1
8,53.02,54.26,52.79,54,0,1
11,50.95,52.69,50.95,52.69,0,1
12,51.13,51.8,51.03,51.11,0,1
13,50.07,51.43,49.79,51.3,0,1
14,50.7,51.13,49.42,49.5,0,1
15,49.95,50.82,49.61,50.42,0,1
19,50.74,50.95,49.76,50.45,0,1
20,51.1,51.46,50.2,50.32,0,1
21,51.1,51.3,50.45,51.2,0,1
22,52.61,53.23,50.6,50.75,0,1
25,53.7,54.15,53.18,53.26,0,1
26,55.69,55.94,53.34,53.67,0,1
27,55.94,57.06,55.04,55.22,0,1
28,56.93,57.84,55.77,56.11,0,1
29,58.69,58.69,56.72,57.15,0,1
32,59.62,60.74,58.33,58.42,0,1
33,58.86,60.15,58.7,60.04,0,1
34,59.13,59.78,58.35,58.67,0,1
35,60.35,61.25,58.45,59.36,0,1
36,59.86,61.99,59.82,60.42,0,1
39,59.07,60.38,58.84,59.72,0,1
40,63.37,63.64,60.04,60.51,0,1
41,65.47,67.44,63.05,63.2,0,1
42,64.735,66.084,64.436,64.885,0,1
43,66.22,67.05,64.39,65.33,0,1
46,67.46,68.37,66.95,67.84,0,1
47,69.12,69.2,66.05,67.26,0,1
48,68.47,69.16,67.93,68.77,0,1
49,69.36,69.87,68.21,68.21,0,1
50,68.8,69.77,68.44,69.3,0,1
53,67.56,69.36,66.86,68.44,0,1
54,68.63,68.74,66.63,67.18,0,1
55,70.38,71.7,69.97,71.59,0,1
56,70.93,71.12,69.21,70.44,0,1
57,71.98,72.68,70.9,72.4,0,1
60,74.51,74.53,70.53,71.53,0,1
61,73.9,76.12,73.6,75.17,0,1
62,70.17,74.42,69.73,73.9,0,1
63,74.62,74.99,70.74,71.99,0,1
64,86.129,89.995,81.958,85.132,0,1
67,93.61,97.12,86.19,88.05,0,1
68,90.809,96.224,89.91,93.131,0,1
69,92.89,94.67,90.79,91.05,0,1
70,96.55,97.1,92.71,93.22,0,1
71,95.22,99.88,95.2,99.34,0,1
TIMEZONE_OFFSET=-300
a1099342800,97.92,98.74,95.54,96.65,0,1
1,97.34,99.53,96.57,99.27,0,1
2,95.74,100.7,95.28,99,0,1
3,92.26,95.1,91.58,94.03,0,1
4,84.59,91.06,84.19,90.91,0,1
7,86.19,87.63,84.62,85.38,0,1
8,84.27,87.51,82.55,86.96,0,1
9,83.85,86.17,83.08,85.25,0,1
10,91.42,91.78,83.7,84.48,0,1
11,90.91,94.81,88.61,92.52,0,1
14,92.34,94.07,89.29,90.13,0,1
15,86.186,89.645,85.33,88.661,0,1
16,86.16,88.66,84.42,84.43,0,1
17,83.69,87.12,82.78,85.11,0,1
18,84.62,84.91,83.18,84.45,0,1
21,82.467,84.665,80.574,84.238,0,1
22,83.676,85.33,83.167,83.874,0,1
23,87.29,88.52,86.17,87.33,0,1
25,89.61,89.92,87.57,87.81,0,1
28,90.434,91.384,88.666,90.037,0,1
29,90.9,91.41,90.03,90.26,0,1
30,89.89,91.16,89.69,90.79,0,1
31,89.61,90.66,89.19,89.86,0,1
32,90.11,90.44,88.71,89.91,0,1
35,88.06,90.26,87.92,89.48,0,1
36,85.63,88.01,85.19,87.91,0,1
37,84.91,86.75,84.28,85.2,0,1
38,86.63,86.66,84.15,85.04,0,1
39,85.74,87.35,85.56,86.63,0,1
42,85.14,86.5,84.64,85.93,0,1
43,89.26,89.32,84.72,85.41,0,1
44,89.8,90.25,88.24,88.91,0,1
45,88.15,90.15,87.89,88.52,0,1
46,89.95,90.16,88.19,88.29,0,1
49,92.42,94.14,90.84,90.91,0,1
50,91.78,93.85,91.61,93.05,0,1
51,93.06,93.33,91.41,91.86,0,1
52,93.86,94.21,92.91,93.63,0,1
56,95.86,96.55,94.46,94.48,0,1
57,96.28,96.68,95.41,95.96,0,1
58,96.35,96.66,95.79,95.89,0,1
59,98.7,99.02,95.83,96.39,0,1
60,96.3,99.84,96.18,99.52,0,1
63,101.25,101.72,97.63,98.6,0,1
64,97.15,101.36,96.64,100.56,0,1
65,96.66,98.35,96.02,96.63,0,1
66,94.18,97.85,93.77,97.53,0,1
67,96.83,97.03,94.3,95.22,0,1
70,97.43,98.95,95.82,97.15,0,1
71,96.67,98.76,96.49,97.71,0,1
72,97.59,97.87,95.15,97.07,0,1
73,97.57,98.6,96.93,97.59,0,1
74,99.89,99.9,96.97,97.9,0,1
78,101.85,102.41,99.23,100.34,0,1
79,98.55,102.55,98.26,102.22,0,1
80,96.86,98.03,95.9,96.19,0,1
81,94.05,97.58,93.97,97.12,0,1
84,90.27,94.57,90.07,94.25,0,1
85,88.47,91.03,88.06,91.01,0,1
86,94.53,94.61,89.49,89.55,0,1
87,93.95,94.34,92.51,94.29,0,1
88,95.07,97.25,93.08,94.91,0,1
91,97.71,98.08,95.76,96.75,0,1
92,95.85,101.77,95.22,97.09,0,1
93,102.88,108.29,101.73,107.67,0,1
94,105.32,106.58,102.8,102.89,0,1
95,102.08,103.77,101.2,103.13,0,1
98,97.92,103.1,97.66,102.53,0,1
99,99.22,99.91,97.17,98.38,0,1
100,95.69,100.7,94.64,100.28,0,1
101,93.9,96.01,92.53,95.89,0,1
102,93.61,96.06,92.94,93.24,0,1
105,96.4,96.44,90.41,91.33,0,1
106,97.517,99.82,96.443,96.706,0,1
107,99.11,99.57,97.05,97.25,0,1
108,98.85,99.78,98.31,98.82,0,1
109,98.88,99.32,98.23,99.16,0,1
113,95.59,99.35,95.1,98.15,0,1
114,96.88,97.14,94.24,96.55,0,1
115,94.35,94.83,91.02,91.59,0,1
116,92.84,94.87,92.66,94.48,0,1
119,93.9,94.84,92.83,92.91,0,1
120,92.94,94.78,92.6,94.55,0,1
121,92.5,93.74,92.09,92.88,0,1
122,93.409,93.781,92.063,92.972,0,1
123,92.86,93.53,92.44,93.26,0,1
126,94.31,94.71,93.42,93.8,0,1
127,92.51,94.83,92.39,94.46,0,1
128,90.58,92.23,89.99,92.01,0,1
129,89.9,90.51,88.61,90.41,0,1
130,88.81,90.38,88.49,90.13,0,1
133,87.41,89.11,86.2,89.08,0,1
134,89.22,89.91,87.02,87.56,0,1
135,87.71,89.22,87.42,88.26,0,1
136,89.56,89.73,87.81,88.48,0,1
137,89.93,90.11,89.07,89.32,0,1
140,90.35,90.99,88.54,89.55,0,1
141,89.21,90.88,88.84,90.5,0,1
142,89.4,90.03,88.9,88.9,0,1
143,89.54,90.34,89.51,90.26,0,1
147,90.62,92.31,90.38,90.75,0,1
148,89.7,91.55,88.95,90.43,0,1
149,90.13,90.63,89.71,90.23,0,1
150,90.16,90.6,88.73,88.89,0,1
151,89.93,91.38,89.91,90.79,0,1
TIMEZONE_OFFSET=-240
a1112644800,92.55,92.57,89.83,89.89,0,1
1,94.19,95.03,93.69,93.77,0,1
2,94.52,94.73,93.7,94.53,0,1
3,96.78,97.21,94.23,94.3,0,1
4,95.93,97.45,95.63,96.75,0,1
7,96.52,97.3,96.06,96.45,0,1
8,96.881,97.113,94.61,96.404,0,1
9,96.37,97.06,94.77,96.64,0,1
10,95.63,97.08,94.95,96.54,0,1
11,92.41,95.07,92.24,94.95,0,1
14,93.39,93.85,91.65,92.2,0,1
15,95.6,95.9,93.92,94.57,0,1
16,98.95,100.15,97.86,99.19,0,1
17,102.01,102.4,99.56,100.11,0,1
18,107.797,111.888,107.023,111.341,0,1
21,111.65,112.26,108.65,108.8,0,1
22,109.27,110.89,109.04,110,0,1
23,109.78,110.31,108.26,108.89,0,1
24,109.62,110.93,108.75,109.64,0,1
25,109.89,111.01,108.8,110.84,0,1
28,111.03,111.74,109.99,110.91,0,1
29,112.98,113.96,110.55,110.81,0,1
30,114.136,114.825,113.386,113.501,0,1
31,113.38,114.2,112.83,114.2,0,1
32,113.9,114.51,113.12,114.09,0,1
